title,start_year,end_year
Laipeu,1,1
Larry Charles' Dangerous World of Comedy,1,1
Larva Island,1,1
Las Muñecas de la Mafia (II),1,1
Las chicas del cable,1,1
Las muñecas de la mafia,1,1
Las mágicas historias de Plim Plim,1,1
Last Chance U,1,1
Last Chance U: Basketball,1,1
Last Hope,1,1
Lava Ka Dhaava,1,1
Law School,1,1
Le Coup de Foudre,1,1
Le chalet,1,1
Learning Time with Timmy,1,1
Legends of Tomorrow,1,1
Lego Elves: Secrets of Elvendale,1,1
Lego Friends,1,1
Lego Jurassic World: Legend of Isla Nublar,1,1
Lego: City,1,1
Leila,1,1
Les 7 Vies de Léa,1,1
Les de l'hoquei,1,1
Les rivières pourpres,1,1
Let's Eat,1,1
Leyla ile Mecnun,1,1
Life Unexpected,1,1
Life in Colour,1,1
Life in Our Universe,1,1
Life's Too Short,1,1
Like A Mother,1,1
Lilyhammer,1,1
Limitless,1,1
Line of Duty,1,1
Little Britain,1,1
Little Einsteins,1,1
Little Singham,1,1
Little Things,1,1
Littlest Pet Shop: A World of Our Own,1,1
Liu xing hua yuan,1,1
Living Undocumented,1,1
Living with Yourself,1,1
Llama Llama,1,1
Loaded,1,1
Locke & Key,1,1
Locombians,1,1
LoliRock,1,1
Longmire,1,1
"Los Briceño, una familia todo terreno",1,1
Los herederos de la tierra,1,1
Losers,1,1
Lost & Found Music Studios,1,1
Lost Song,1,1
Lost Tapes,1,1
Lost in Space,1,1
Lostorage incited Wixoss,1,1
Love,1,1
Love & Anarchy,1,1
Love (ft. Marriage & Divorce),1,1
Love Is Blind,1,1
Love Island,1,1
Love Island Australia,1,1
Love Naggers,1,1
Love Sick: The Series,1,1
Love and Redemption,1,1
Love is Blind: After the Altar,1,1
Love is Blind: Brazil,1,1
Love on the Spectrum,1,1
"Love, Death & Robots",1,1
Love/Hate,1,1
Lovesick,1,1
"Luchshe, chem lyudi",1,1
Lucifer,1,1
Lugar de Mulher,1,1
Luis Miguel: La Serie,1,1
Luke Cage,1,1
Luna Nera,1,1
Lupin,1,1
Luther,1,1
M'entends-tu?,1,1
Mad Men,1,1
Madam Secretary,1,1
Made in Mexico,1,1
Madre Solo hay Dos,1,1
Maeumui sori,1,1
Maggie & Bianca: Fashion Friends,1,1
Magic for Humans,1,1
Magic for Humans by Mago Pop,1,1
Magmel of the Sea Blue,1,1
Mahouka koukou no rettousei,1,1
Mai,1,1
Maid,1,1
Majutsushi Orphen Mubouhen,1,1
Making a Murderer,1,1
Mako Mermaids,1,1
Malibu Rescue,1,1
Mama K's Team 4,1,1
Man Down,1,1
Man Like Mobeen,1,1
Manhunt,1,1
Maoyuu Maou Yuusha,1,1
Marcella,1,1
Marching Orders,1,1
Marco Polo,1,1
Marlon,1,1
Marriage or Mortgage,1,1
Married to Medicine,1,1
Marseille,1,1
Masaba Masaba,1,1
Masameer,1,1
Masameer County,1,1
Master of None,1,1
Masters of the Universe: Revelation,1,1
Maya and the Three,1,1
MeatEater,1,1
Medal of Honor,1,1
