title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","With General Morando searching for Gaylen's Core, Aja and Krel must travel into their parents' subconscious to learn the core's location first.",8.5,142,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Glenn Close']",['Rodrigo Blaas']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","After learning the location of Gaylen's Core, Toby calls Trollhunter Jim Lake, and Blinky advises the royals to consult the Soothscryer.",8.6,138,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Alon Aboutboul']",['Andrew L. Schmidt']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","As the town of Arcadia gathers for the premiere of ""Kleb or Alive,"" an army of Omens, led by an armored Kubritz, makes plans to lure out the royals.",8.5,133,,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Alon Aboutboul']",['Francisco Ruiz-Velasco']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","With the fate of the universe at stake, the royal heirs and their allies must gather their forces for the ultimate battle to defeat General Morando.",8.6,148,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Alon Aboutboul']","['Rodrigo Blaas', 'Johane Matte']"
3rd Rock from the Sun,1996,2001,"['Comedy', 'Family', 'Sci-Fi']","A group of aliens are sent to Earth, disguised as a human family, to experience and report life on the third planet from the sun.",7.7,48780,60,,,"['John Lithgow', 'Jane Curtin', 'Kristen Johnston', 'French Stewart']",
4 latas,2019,,"['Comedy', 'Drama']","Tocho, Jean Pierre and Ely travel from Spain to Mali to meet Ely's dying father for the last time.",5.9,2903,105,,,"['Jean Reno', 'Hovik Keuchkerian', 'Susana Abaitua', 'Juan Dos Santos']",['Gerardo Olivares']
42 días en la oscuridad,,,"['Crime', 'Drama', 'Mystery']","A Woman's Struggle to Find the Whereabouts of her Missing Sister. This Will Have to Fight Against the Negligence of the Institutions, The Prejudices of Loneliness and The Harassment of the Media.",,,,,,"['Aline Küppenheim', 'Claudia Di Girólamo', 'Gloria Münchmeyer']",
44 Gatti,2018,Ongoing,"['Animation', 'Adventure', 'Comedy']","44 Cats is a preschool comedy series that follows the daily adventures of four cats named Lampo, Milady, Pilou, and Meatball. All of them are part of a music band called 'The Buffycats'.",6.1,238,13,,,"['Judith Cabral', 'Sarah Natochenny', 'Keira Johnson', 'Joy Salaretti']",
45 Revoluciones,2019,,"['Drama', 'Music']",The birth of a music label and three characters fighting for their dreams inside the complex inside the music industry.,7.3,426,50,,,"['Carlos Cuevas', 'Guiomar Puerta', 'Iván Marcos', 'Israel Elejalde']",
46 Yok Olan,2016,,"['Action', 'Crime', 'Drama']",A genetic professor (Murat Güney) wants to save his sister from a long-time coma by using a medicine he has just discovered. But this discovery changes his life in an unexpected way.,8.4,4079,60,,,"['Erdal Besikçioglu', 'Yasemin Kay Allen', 'Melis Birkan', 'Saygin Soysal']",
